MTU,Biomass,Energy storage,Fossil Brown coal/Lignite,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Fossil Oil shale,Fossil Peat,Geothermal,Hydro Pumped Storage,,Hydro Run-of-river and poundage,Hydro Water Reservoir,Marine,Nuclear,Other,Other renewable,Solar,Waste,Wind Offshore,Wind Onshore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:00 - 04:00,341,n/e,n/e,n/e,2028,15,189,n/e,n/e,n/e,,1944,5040,1940,n/e,41998,n/e,n/e,0,98,568,9681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04:00 - 05:00,342,n/e,n/e,n/e,2037,15,190,n/e,n/e,n/e,,2636,5086,1215,n/e,41797,n/e,n/e,0,98,568,9585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05:00 - 06:00,342,n/e,n/e,n/e,2057,15,190,n/e,n/e,n/e,,2732,5120,1008,n/e,41358,n/e,n/e,0,98,568,9515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06:00 - 07:00,342,n/e,n/e,n/e,2062,16,190,n/e,n/e,n/e,,1642,5194,1118,n/e,41745,n/e,n/e,0,98,568,14618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07:00 - 08:00,341,n/e,n/e,n/e,2052,16,190,n/e,n/e,n/e,,1670,5222,1397,n/e,43626,n/e,n/e,0,96,568,15676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08:00 - 09:00,333,n/e,n/e,n/e,2066,16,191,n/e,n/e,n/e,,1585,5398,1954,n/e,45816,n/e,n/e,240,94,566,15852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09:00 - 10:00,331,n/e,n/e,n/e,2073,16,191,n/e,n/e,n/e,,839,5781,2469,n/e,46750,n/e,n/e,317,93,564,15974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:00 - 11:00,331,n/e,n/e,n/e,2084,16,190,n/e,n/e,n/e,,242,5834,2363,n/e,46709,n/e,n/e,871,92,548,15710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:00 - 12:00,331,n/e,n/e,n/e,2093,16,191,n/e,n/e,n/e,,198,5634,2416,n/e,46665,n/e,n/e,1994,90,564,15615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:00 - 13:00,331,n/e,n/e,n/e,2090,16,191,n/e,n/e,n/e,,382,5600,2353,n/e,46746,n/e,n/e,2900,93,564,15795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13:00 - 14:00,315,n/e,n/e,n/e,2110,16,191,n/e,n/e,n/e,,209,5668,2097,n/e,46599,n/e,n/e,3510,89,565,16152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14:00 - 15:00,323,n/e,n/e,n/e,2116,16,191,n/e,n/e,n/e,,462,5596,1977,n/e,46475,n/e,n/e,3519,90,567,16208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15:00 - 16:00,325,n/e,n/e,n/e,2016,16,191,n/e,n/e,n/e,99,,5624,2602,n/e,46745,n/e,n/e,2984,90,565,16179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16:00 - 17:00,324,n/e,n/e,n/e,2046,16,191,n/e,n/e,n/e,673,,5910,2646,n/e,46836,n/e,n/e,1727,90,560,16269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17:00 - 18:00,325,n/e,n/e,n/e,2045,16,191,n/e,n/e,n/e,603,,6049,2650,n/e,46695,n/e,n/e,647,91,560,16697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18:00 - 19:00,323,n/e,n/e,n/e,2063,16,191,n/e,n/e,n/e,953,,6440,2908,n/e,46828,n/e,n/e,247,92,558,16713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
